Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Nov 15 2021 12:06:38 GMT+0000 (Greenwich Mean Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,People Receiving a Booster Dose,Total People Receiving a Booster Dose,7-Day Average Daily Count Booster
Report,2021-10-13,US,,,,,,,794421,813690,,,,N/A,N/A,N/A
Admin,2021-10-14,US,864951,232892,410062597,218705938,210881,761138,,,216387,189090549,203556,425484,10964026,353934
Report,2021-10-14,US,,,,,,,1073311,841731,,,,N/A,N/A,N/A
Admin,2021-10-15,US,993033,268545,411055630,218974483,207490,747236,,,263900,189354449,198942,471762,11435788,348292
Report,2021-10-15,US,,,,,,,1126317,843065,,,,N/A,N/A,N/A
Admin,2021-10-16,US,471967,144615,411527597,219119098,206482,740796,,,137852,189492301,195562,194196,11629984,346318
Report,2021-10-16,US,,,,,,,876086,803960,,,,N/A,N/A,N/A
Admin,2021-10-17,US,258947,85555,411786544,219204653,205023,734680,,,80707,189573008,192767,93762,11723746,344480
Report,2021-10-17,US,,,,,,,818998,811216,,,,N/A,N/A,N/A
Admin,2021-10-18,US,789028,228482,412575572,219433135,204262,730635,,,201307,189774315,191309,368907,12092653,342831
Report,2021-10-18,US,,,,,,,531983,817729,,,,N/A,N/A,N/A
Admin,2021-10-19,US,776474,207890,413352046,219641025,200131,715842,,,183758,189958073,185858,394522,12487175,337822
Report,2021-10-19,US,,,,,,,641045,837452,,,,N/A,N/A,N/A
Admin,2021-10-20,US,780760,206574,414132806,219847599,196365,705022,,,184791,190142864,181243,400036,12887211,335524
Report,2021-10-20,US,,,,,,,750750,831213,,,,N/A,N/A,N/A
Admin,2021-10-21,US,801381,211831,414934187,220059430,193356,695941,,,186498,190329362,176973,413152,13300363,333762
Report,2021-10-21,US,,,,,,,820913,795156,,,,N/A,N/A,N/A
Admin,2021-10-22,US,1299842,308013,416234029,220367443,198994,739771,,,232942,190562304,172550,768749,14069112,376189
Report,2021-10-22,US,,,,,,,952375,770307,,,,N/A,N/A,N/A
Admin,2021-10-23,US,794600,190787,417028629,220558230,205590,785861,,,128016,190690320,171145,480488,14549600,417088
Report,2021-10-23,US,,,,,,,893144,772744,,,,N/A,N/A,N/A
Admin,2021-10-24,US,453769,116749,417482398,220674979,210047,813693,,,76523,190766843,170547,261978,14811578,441119
Report,2021-10-24,US,,,,,,,789309,768503,,,,N/A,N/A,N/A
Admin,2021-10-25,US,1443608,326215,418926006,221001194,224008,907204,,,194084,190960927,169516,931957,15743535,521555
Report,2021-10-25,US,,,,,,,656714,786321,,,,N/A,N/A,N/A
Admin,2021-10-26,US,1466476,320028,420392482,221321222,240028,1005776,,,190718,191151645,170510,967404,16710939,603395
Report,2021-10-26,US,,,,,,,709834,796148,,,,N/A,N/A,N/A
Admin,2021-10-27,US,1517886,326047,421910368,221647269,257096,1111080,,,195030,191346675,171973,1009012,17719951,690391
Report,2021-10-27,US,,,,,,,1142398,852098,,,,N/A,N/A,N/A
Admin,2021-10-28,US,1496996,316030,423407364,221963299,271981,1210453,,,196147,191542822,173351,998599,18718550,774027
Report,2021-10-28,US,,,,,,,1641113,969270,,,,N/A,N/A,N/A
Admin,2021-10-29,US,1664400,349901,425071764,222313200,277965,1262533,,,223969,191766791,172069,1104775,19823325,822030
Report,2021-10-29,US,,,,,,,1225216,1008247,,,,N/A,N/A,N/A
Admin,2021-10-30,US,774647,181465,425846411,222494665,276634,1259683,,,113205,191879996,169953,487959,20311284,823098
Report,2021-10-30,US,,,,,,,1636930,1114502,,,,N/A,N/A,N/A
Admin,2021-10-31,US,413098,106928,426259509,222601593,275231,1253873,,,66501,191946497,168522,242998,20554282,820386
Report,2021-10-31,US,,,,,,,1412416,1203517,,,,N/A,N/A,N/A
Admin,2021-11-01,US,1322769,295592,427582278,222897185,270856,1236610,,,180399,192126896,166567,860145,21414427,810127
Report,2021-11-01,US,,,,,,,935285,1243313,,,,N/A,N/A,N/A
Admin,2021-11-02,US,1370216,294351,428952494,223191536,267188,1222858,,,173547,192300443,164114,915520,22329947,802715
Report,2021-11-02,US,,,,,,,937410,1275824,,,,N/A,N/A,N/A
Admin,2021-11-03,US,1402945,309396,430355439,223500932,264809,1206438,,,175286,192475729,161293,932990,23262937,791855
Report,2021-11-03,US,,,,,,,1330034,1302629,,,,N/A,N/A,N/A
Admin,2021-11-04,US,1447664,330879,431803103,223831811,266930,1199391,,,174266,192649995,158167,955396,24218333,785683
Report,2021-11-04,US,,,,,,,1455264,1276079,,,,N/A,N/A,N/A
Admin,2021-11-05,US,1671495,411827,433474598,224243638,275777,1200404,,,208055,192858050,155894,1067912,25286245,780417
Report,2021-11-05,US,,,,,,,1278448,1283684,,,,N/A,N/A,N/A
Admin,2021-11-06,US,877469,314122,434352067,224557760,294728,1215093,,,107353,192965403,155058,463514,25749759,776925
Report,2021-11-06,US,,,,,,,1435968,1254975,,,,N/A,N/A,N/A
Admin,2021-11-07,US,466206,179296,434818273,224737056,305066,1222680,,,64596,193029999,154786,227354,25977113,774690
Report,2021-11-07,US,,,,,,,1485116,1265361,,,,N/A,N/A,N/A
Admin,2021-11-08,US,1217694,385094,436035967,225122150,317852,1207669,,,153007,193183006,150872,693214,26670327,750843
Report,2021-11-08,US,,,,,,,1184236,1300925,,,,N/A,N/A,N/A
Admin,2021-11-09,US,1337685,423428,437373652,225545578,336292,1203022,,,143005,193326011,146509,784007,27454334,732055
Report,2021-11-09,US,,,,,,,1044533,1316228,,,,N/A,N/A,N/A
Admin,2021-11-10,US,1359834,437834,438733486,225983412,354640,1196863,,,138127,193464138,141201,796326,28250660,712532
Report,2021-11-10,US,,,,,,,1330496,1316294,,,,N/A,N/A,N/A
Admin,2021-11-11,US,1070994,367004,439804480,226350416,359801,1143053,,,106272,193570410,131487,607390,28858050,662817
Report,2021-11-11,US,,,,,,,1512608,1324486,,,,N/A,N/A,N/A
Admin,2021-11-12,US,681795,222780,440486275,226573196,332794,1001668,,,71610,193642020,111995,394596,29252646,566629
Report,2021-11-12,US,,,,,,,1352503,1335066,,,,N/A,N/A,N/A
Admin,2021-11-13,US,73338,34457,440559613,226607653,292842,886792,,,8482,193650502,97871,30522,29283168,504773
Report,2021-11-13,US,,,,,,,1682461,1370279,,,,N/A,N/A,N/A
Admin,2021-11-14,US,0,0,440559613,226607653,267228,820191,,,0,193650502,88643,0,29283168,472294
Report,2021-11-14,US,,,,,,,1525152,1375998,,,,N/A,N/A,N/A
